Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1.0		FALSE	FALSE			[XObject]			
Subtype	name	1.0		TRUE	FALSE			[Form]			
FormType	integer	1.0		FALSE	FALSE			[1]			
BBox	rectangle	1.0		TRUE	FALSE						
Matrix	array	1.0		FALSE	FALSE		[1 0 0 1 0 0]			[Matrix]	
Resources	dictionary	1.2		FALSE	FALSE					[Resource]	
Group	dictionary	1.4		FALSE	FALSE					[Group]	
Ref	dictionary	1.4		FALSE	FALSE					[Reference]	
Metadata	stream	1.4		FALSE	FALSE					[Metadata]	
PieceInfo	dictionary	1.3		FALSE	FALSE					[PagePiece]	
LastModified	date	1.3		FALSE	FALSE				IsRequired=>PieceInfoIsPresent		
StructParent	integer	1.3		FALSE	FALSE						
StructParents	integer	1.3		FALSE	FALSE						
OPI	dictionary	1.2	2.0	FALSE	FALSE					[OPIVersion13,OPIVersion20]	
Name	name	1.0	2.0	FALSE	FALSE						
Length	integer	1.3		TRUE	FALSE						
Filter	array;name	1.3		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.3		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
F 	dictionary;string	1.3		FALSE	FALSE					[FileSpecification];[]	
FFilter	array;name	1.3		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.3		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
MarkStyle	string-text	1.4		FALSE	FALSE						*from printer mark form dictionary
Colorants	dictionary	1.4		FALSE	FALSE					[]	
