Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[Font]			
Subtype	name	1.0		TRUE	FALSE	FALSE		[TrueType]			
Name	name	1.0	2.0	fn:IsRequired(fn:IsPDFVersion(1.0))	FALSE	FALSE					
BaseFont	name	1.0		TRUE	FALSE	FALSE					
FirstChar	integer	1.0		fn:IsRequired(fn:SinceVersion(2.0) || fn:NotStandard14Font())	FALSE	FALSE					
LastChar	integer	1.0		fn:IsRequired(fn:SinceVersion(2.0) || fn:NotStandard14Font())	FALSE	FALSE					
Widths	array	1.0		fn:IsRequired(fn:SinceVersion(2.0) || fn:NotStandard14Font())	FALSE	FALSE				[fn:SinceVersion(1.0,ArrayOfIntegersGeneral)]	
FontDescriptor	dictionary	1.0		fn:IsRequired(fn:SinceVersion(2.0) || fn:NotStandard14Font())	TRUE	FALSE				[fn:SinceVersion(1.0,FontDescriptorTrueType)]	
Encoding	dictionary;name	1.0		FALSE	FALSE	FALSE		[];[MacRomanEncoding,MacExpertEncoding,WinAnsiEncoding]		[fn:SinceVersion(1.0,Encoding)];[]	
ToUnicode	stream	1.2		FALSE	TRUE	FALSE				[fn:SinceVersion(1.0,Stream)]	
