Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.6		FALSE	FALSE		[Measure]			
Subtype	name	1.6		FALSE	FALSE		[RL]			
R	string-text	1.6		TRUE	FALSE					
X	array	1.6		TRUE	FALSE				[ArrayOfNumberFormats]	
Y	array	1.6		FALSE	FALSE				[ArrayOfNumberFormats]	
D	array	1.6		TRUE	FALSE				[ArrayOfNumberFormats]	
A	array	1.6		TRUE	FALSE				[ArrayOfNumberFormats]	
T	array	1.6		FALSE	FALSE				[ArrayOfNumberFormats]	
S	array	1.6		FALSE	FALSE				[ArrayOfNumberFormats]	
O	array	1.6		FALSE	FALSE				[ArrayOf_2Numbers]	
CYX	number	1.6		FALSE	FALSE					
